SubmitTime,WaitTime,RunTime,NProc,UsedCPUTime,UsedMemory,ReqNProcs,ReqTime,Status,UserID,GroupID,ExecutableID,QueueID,PartitionID,OrigSiteID,LastRunSiteID,Workload
2005-12-31 23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-01 00:00:00,68466.83333333333,92705.33333333333,,26184.833333333332,117664.0,1.0,216150.0,1,U2035S1,G6,X1,Q2,1,clrlcgce02,clrlcgce02,6.0
2006-01-01 01:00:00,779175.7142857143,115628.71428571429,,2599.714285714286,78845.14285714286,1.0,186685.7142857143,1,U1033S0,G6,X1,Q4,1,clrlcgce01,clrlcgce01,7.0
2006-01-01 02:00:00,35680.27272727273,17634.545454545456,,-0.7272727272727273,578.9090909090909,1.0,24135.636363636364,5,-1,-1,-1,Q3,1,clrlcgce01,clrlcgce01,3.0
2006-01-01 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-01 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-01 05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-01 06:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-01 07:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-01 08:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-01 09:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-01 10:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-01 11:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-01 12:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-01 13:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-01 14:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-01 15:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-01 16:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-01 17:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-01 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-01 19:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-01 20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-01 21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-01 22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-01 23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-02 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-02 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-02 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-02 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-02 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-02 05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-02 06:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-02 07:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-02 08:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-02 09:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-02 10:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-02 11:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-02 12:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-02 13:00:00,2499850.0,20.0,,0.0,17876.0,1.0,89100.0,1,U5005S3,G1,X1,Q2,1,iut15,iut15,2.0
2006-01-02 14:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-02 15:00:00,2491849.0,20.0,,0.0,0.0,1.0,5400.0,1,U5005S3,G1,X1,Q5,1,iut15,iut15,1.0
2006-01-02 16:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-02 17:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-02 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-02 19:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-02 20:00:00,2474476.0,21.0,,0.0,0.0,1.0,900.0,1,U5005S3,G1,X1,Q3,1,iut15,iut15,1.0
2006-01-02 21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-02 22:00:00,2466405.0,20.0,,0.0,35760.0,1.0,5400.0,1,U5005S3,G1,X1,Q2,1,iut15,iut15,1.0
2006-01-02 23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-03 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-03 01:00:00,27481.0,-1.0,,-1.0,-1.0,1.0,-1.0,5,-1,-1,-1,Q2,1,iut15,iut15,0.0
2006-01-03 02:00:00,24752.0,-1.0,,-1.0,-1.0,1.0,-1.0,5,-1,-1,-1,Q1,1,iut15,iut15,0.0
2006-01-03 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-03 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-03 05:00:00,13542.0,-1.0,,-1.0,-1.0,1.0,-1.0,5,-1,-1,-1,Q1,1,iut15,iut15,0.0
2006-01-03 06:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-03 07:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-03 08:00:00,57.357142857142854,1946.4285714285713,,1519.642857142857,825678.2857142857,1.0,57840.0,5,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02,28.0
2006-01-03 09:00:00,30352.6875,1168.9125,,108.2875,468394.1,1.0,32355.0,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02,80.0
2006-01-03 10:00:00,36.61194029850746,7246.253731343284,,5745.9701492537315,151431.28358208956,1.0,51467.46268656717,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02,67.0
2006-01-03 11:00:00,1.118811881188119,50763.841584158414,,45657.28712871287,102514.13861386139,1.0,145176.23762376237,1,U1012S0,G2,X1,Q9,1,clrlcgce01,clrlcgce01,101.0
2006-01-03 12:00:00,30515.942446043166,11173.971223021583,,10294.971223021583,54026.352517985615,1.0,60385.25899280576,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02,110.0
2006-01-03 13:00:00,25.28846153846154,670.8910256410256,,6.435897435897436,33445.666666666664,1.0,60495.38461538462,1,U2003S1,G1,X1,Q5,1,clrlcgce02,clrlcgce02,156.0
2006-01-03 14:00:00,31755.342105263157,5887.131578947368,,4366.1973684210525,81750.05263157895,1.0,57268.42105263158,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02,76.0
2006-01-03 15:00:00,1.4132231404958677,646.3553719008264,,4.950413223140496,26897.586776859505,1.0,64389.9173553719,1,U1021S0,G1,X1,Q5,1,clrlcgce02,clrlcgce02,121.0
2006-01-03 16:00:00,1.127659574468085,409.27659574468083,,4.361702127659575,14923.234042553191,1.0,96191.48936170213,1,U1021S0,G1,X1,Q5,1,clrlcgce02,clrlcgce02,47.0
2006-01-03 17:00:00,1253.5,7368.625,,7036.875,200214.0,1.0,194625.0,1,U1033S0,G2,X1,Q4,1,clrlcgce01,clrlcgce01,8.0
2006-01-03 18:00:00,996.2,4703.2,,4472.6,250099.2,1.0,259200.0,1,U2014S1,G2,X1,Q9,1,clrlcgce02,clrlcgce02,5.0
2006-01-03 19:00:00,1.125,8.125,,3.25,0.0,1.0,259200.0,1,U2014S1,G2,X1,Q9,1,clrlcgce02,clrlcgce02,8.0
2006-01-03 20:00:00,1262.75,16.875,,8.375,0.0,1.0,194625.0,1,U2014S1,G2,X1,Q9,1,clrlcgce02,clrlcgce02,8.0
2006-01-03 21:00:00,1074.25,20.75,,3.0,0.0,1.0,194625.0,1,U2014S1,G2,X1,Q9,1,clrlcgce02,clrlcgce02,4.0
2006-01-03 22:00:00,10066.748091603053,52368.32824427481,,52136.12213740458,472384.13740458013,1.0,161342.2748091603,1,U2015S1,G2,X1,Q9,1,clrlcgce02,clrlcgce02,129.0
2006-01-03 23:00:00,67583.4705882353,43810.686274509804,,43260.80392156863,469225.64705882355,1.0,149155.21568627452,1,U2015S1,G2,X1,Q9,1,clrlcgce02,clrlcgce02,47.0
2006-01-04 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2006-01-04 01:00:00,3301.6666666666665,47773.666666666664,,47730.0,32870.0,1.0,86399.33333333333,5,-1,-1,-1,Q9,1,clrlcgce01,clrlcgce01,1.0
2006-01-04 02:00:00,14305.25,465.0,,400.5,94528.25,1.0,64799.25,5,-1,-1,-1,Q3,1,clrlcgce01,clrlcgce01,1.0
2006-01-04 03:00:00,277.45569620253167,1746.1012658227849,,1744.7088607594937,1247.26582278481,1.0,3280.025316455696,5,-1,-1,-1,Q9,1,clrlcgce01,clrlcgce01,1.0
2006-01-04 04:00:00,14989.5,29.0,,1.0,-0.5,1.0,449.5,1,-1,-1,-1,Q2,1,clrlcgce01,clrlcgce01,1.0
2006-01-04 05:00:00,594945.75,31.0,,6.5,21260.75,1.0,1799.75,1,-1,G1,X1,Q2,1,clrlcgce01,clrlcgce01,3.0
2006-01-04 06:00:00,5744.0,935.0,,802.5,190261.5,1.0,129599.5,1,-1,-1,-1,Q3,1,clrlcgce01,clrlcgce01,2.0
2006-01-04 07:00:00,1.0,190985.0,,172899.0,451124.0,1.0,259200.0,0,U1033S0,G6,X1,Q4,1,clrlcgce01,clrlcgce01,1.0
2006-01-04 08:00:00,54204.63636363636,77.0909090909091,,3.272727272727273,27616.909090909092,1.0,72708.54545454546,5,-1,-1,-1,Q5,1,clrlcgce02,clrlcgce02,5.0
2006-01-04 09:00:00,5812.0,-1.0,,-1.0,-1.0,1.0,-1.0,5,-1,-1,-1,Q1,1,clrlcgce01,clrlcgce01,0.0
2006-01-04 10:00:00,2356.222222222222,311.3333333333333,,178.44444444444446,42020.88888888889,1.0,28799.11111111111,5,-1,-1,-1,Q2,1,clrlcgce01,clrlcgce01,1.0
2006-01-04 11:00:00,2187.5106382978724,838.7872340425532,,810.6808510638298,20833.76595744681,1.0,11028.829787234043,5,-1,-1,-1,Q2,1,clrlcgce01,clrlcgce01,2.0
2006-01-04 12:00:00,1199.0510204081634,-0.9387755102040817,,-0.9489795918367347,-0.9795918367346939,1.0,109.22448979591837,5,-1,-1,-1,Q7,1,clrlcgce02,clrlcgce02,2.0
2006-01-04 13:00:00,8345.757575757576,8911.30303030303,,8622.818181818182,152293.21212121213,1.0,86453.93939393939,5,-1,-1,-1,Q4,1,clrlcgce01,clrlcgce01,13.0
2006-01-04 14:00:00,4582.931034482759,2057.6206896551726,,2048.1724137931033,27382.310344827587,1.0,42547.68965517241,5,-1,-1,-1,Q9,1,clrlcgce01,clrlcgce01,12.0
2006-01-04 15:00:00,8.666666666666666,4091.222222222222,,3796.5,129664.72222222222,1.0,126099.83333333333,1,U1025S0,G1,X1,Q2,1,clrlcgce01,clrlcgce01,15.0
2006-01-04 16:00:00,30179.0,23.0,,1.0,24603.5,1.0,449.5,1,-1,-1,-1,Q2,1,clrlcgce02,clrlcgce02,1.0
2006-01-04 17:00:00,1642.25,20029.0,,19045.25,401701.0,1.0,48435.0,1,U2003S1,G1,X1,Q5,1,clrlcgce02,clrlcgce02,4.0
2006-01-04 18:00:00,565.4285714285714,12295.142857142857,,11212.0,440504.0,1.0,259200.0,1,U1033S0,G6,X1,Q4,1,clrlcgce01,clrlcgce01,7.0
2006-01-04 19:00:00,1341.9375,10633.875,,10075.75,221853.5625,1.0,107590.8125,1,-1,-1,X1,Q2,1,clrlcgce02,clrlcgce02,9.0
2006-01-04 20:00:00,70.34920634920636,942.1111111111111,,884.0793650793651,23550.85714285714,1.0,12399.111111111111,5,-1,-1,-1,Q2,1,clrlcgce02,clrlcgce02,7.0
2006-01-04 21:00:00,41.67857142857143,26573.035714285714,,26356.571428571428,40719.42857142857,1.0,64340.71428571428,5,-1,-1,-1,Q5,1,clrlcgce02,clrlcgce02,8.0
2006-01-04 22:00:00,52.25,9634.733333333334,,9586.466666666667,16613.133333333335,1.0,30254.133333333335,5,-1,-1,-1,Q2,1,clrlcgce02,clrlcgce02,8.0
2006-01-04 23:00:00,25.041095890410958,55831.05479452055,,55311.05479452055,90426.94520547945,1.0,144492.75342465754,1,U1012S0,G2,X1,Q9,1,clrlcgce01,clrlcgce01,44.0
2006-01-05 00:00:00,4127.875,33442.1875,,32856.59375,308499.09375,1.0,251099.96875,1,U1033S0,G6,X1,Q10,1,clrlcgce01,clrlcgce01,31.0
2006-01-05 01:00:00,6595.0625,8590.75,,8171.5625,220178.25,1.0,226912.5,1,U2035S1,G6,X1,Q2,1,clrlcgce01,clrlcgce01,16.0
2006-01-05 02:00:00,7708.0,575.0,,296.09090909090907,118204.0,1.0,189163.63636363635,1,U247,G3,X1,Q10,1,clrlcgce01,clrlcgce01,11.0
2006-01-05 03:00:00,8796.714285714286,5187.5,,5057.071428571428,102088.28571428571,1.0,234578.57142857142,1,U247,G3,X1,Q10,1,clrlcgce01,clrlcgce01,14.0
2006-01-05 04:00:00,4879.9,136.8,,43.0,201392.0,1.0,187926.0,1,U247,G3,X1,Q10,1,clrlcgce01,clrlcgce01,10.0
2006-01-05 05:00:00,653.8421052631579,20142.78947368421,,18254.894736842107,598863.5789473684,1.0,107188.42105263157,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02,19.0
2006-01-05 06:00:00,0.8,77794.0,,20892.4,291303.2,1.0,147996.0,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02,5.0
2006-01-05 07:00:00,1.1666666666666667,96877.66666666667,,95837.0,152675.33333333334,1.0,259200.0,1,U2015S1,G2,X1,Q9,1,clrlcgce02,clrlcgce02,6.0
