SubmitTime,WaitTime,RunTime,UsedCPUTime,UsedMemory,ReqNProcs,ReqTime,Status,UserID,GroupID,ExecutableID,QueueID,PartitionID,OrigSiteID,LastRunSiteID,Workload
2005-12-31 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
2005-12-31 23:30:00,82160.0,111237.2,31421.2,131353.6,1.0,259200.0,1,U2035S1,G6,X1,Q2,1,clrlcgce02,clrlcgce02,5.0
2006-01-01 00:00:00,1.0,46.0,3.0,49216.0,1.0,900.0,1,U1018S0,G1,X1,Q2,1,clrlcgce01,clrlcgce01,1.0
2006-01-01 00:30:00,525904.4,158116.2,0.0,7142.4,1.0,208440.0,1,U1033S0,G6,X1,Q4,1,clrlcgce01,clrlcgce01,5.0
2006-01-01 01:00:00,1412354.0,9410.0,9099.0,258102.0,1.0,132300.0,1,U2035S1,G1,X1,Q2,1,clrlcgce02,clrlcgce02,2.0
2006-01-01 01:30:00,39242.5,19398.1,-0.7,636.9,1.0,26549.3,5,-1,-1,-1,Q2,1,clrlcgce01,clrlcgce01,3.0
2006-01-01 02:00:00,58.0,-1.0,-1.0,-1.0,1.0,-1.0,5,-1,-1,-1,Q3,1,clrlcgce01,clrlcgce01,0.0
2006-01-01 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
2006-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
2006-01-01 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
2006-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
2006-01-01 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
2006-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
2006-01-01 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
2006-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
2006-01-01 06:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
2006-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
2006-01-01 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
2006-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
2006-01-01 08:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
2006-01-01 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
2006-01-01 09:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
